,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats
1931,16,-0.005515357465336268,2,2,1,20.36,1197.0,78.9,5
471,17,0.11243288885650367,3,2,1,12.55,2982.0,169.0,7
3203,19,-0.4353991888111226,2,1,1,18.0,1497.0,117.3,5
5598,13,0.013845028159437644,3,2,2,17.5,1896.0,106.0,5
3214,16,-0.4814170833352032,2,2,1,17.01,1591.0,121.3,5
443,16,-0.09308083675972965,2,2,1,0.0,1086.0,63.0,5
5665,19,-0.06287337599713674,2,2,2,18.9,1197.0,82.0,5
4023,18,-0.00809016823037411,3,2,1,22.32,1582.0,126.32,5
4950,21,0.01434903367089186,3,2,1,26.1,1498.0,99.0,5
853,15,-0.1395698668706044,3,1,2,16.55,1968.0,147.51,5
1862,15,0.10147624730315113,2,2,1,17.0,1497.0,118.0,5
587,17,-0.062073541163742,3,2,1,20.77,1248.0,88.76,7
2440,21,-0.2820062070641872,3,2,1,27.39,1248.0,74.0,5
4535,14,-0.20750104450139006,2,2,1,16.0,1198.0,90.0,5
2146,15,0.23295594594338145,3,2,1,20.54,1598.0,103.6,5
5427,20,-0.31487613172424483,2,1,1,22.5,998.0,67.0,5
2811,21,-0.22057231787453963,2,2,2,17.8,1497.0,117.3,5
4519,12,-0.13069498721238887,2,2,1,9.8,1995.0,163.5,5
4502,19,-0.09574330065719432,3,1,1,12.07,2967.0,241.4,7
3216,21,-0.292908065409773,2,2,1,18.0,1198.0,86.7,5
4934,22,-0.36876089488363256,3,1,1,28.4,1248.0,73.75,5
3434,18,-0.20530971619071955,3,1,1,17.11,1968.0,174.33,5
4310,15,0.30417411604017286,3,2,2,21.12,1248.0,88.8,5
3606,19,-0.06287337599713674,2,2,1,17.8,1497.0,117.3,5
4682,20,-0.5449656043446478,2,1,1,20.51,998.0,67.0,5
4138,17,-0.5455134364223154,2,2,1,17.71,1197.0,78.9,5
866,22,-0.022859721044293315,3,1,1,13.0,2987.0,258.0,5
3975,20,-0.15052650842395693,3,1,1,14.21,2143.0,203.0,5
801,21,-0.16397030760992048,3,2,1,16.0,2179.0,140.0,7
837,20,-0.06698211657964394,3,2,1,24.0,1120.0,70.0,5
1319,9,0.6712216080774824,2,2,2,15.5,1242.0,100.0,5
1635,16,0.14530281351656124,3,1,1,18.33,1968.0,167.7,5
4628,14,0.14530281351656124,2,2,1,16.25,1198.0,73.9,5
14,16,0.2877391537101441,3,1,2,0.0,2179.0,115.0,5
681,21,-0.05191673444378421,2,2,2,16.2,1199.0,74.0,5
5209,20,0.24390163085518063,3,1,1,16.0,2179.0,140.0,7
4599,16,0.36110482555139256,3,1,1,11.4,2953.0,153.86,7
4100,16,0.3863489276903168,3,2,1,22.07,1199.0,73.9,5
1181,17,0.6602649665241299,3,2,1,12.99,2494.0,100.0,8
241,19,-0.020723175941389574,3,2,1,22.54,1396.0,88.73,5
4152,7,0.17817273817661883,3,1,2,12.05,2993.0,557.0,5
5026,17,0.14530281351656124,3,2,1,23.4,1248.0,74.0,5
5829,22,-0.6258584889330495,2,2,1,25.17,799.0,53.3,5
4237,20,-0.46826911347118017,2,2,1,25.17,799.0,53.3,5
2867,22,-0.47556623674571297,2,2,1,21.1,814.0,55.2,5
302,15,0.12338953040985619,2,2,1,20.92,998.0,67.1,5
3258,18,0.24391258749673397,3,2,1,25.8,1498.0,98.6,5
4558,21,-0.5559222458980003,3,1,1,19.59,1995.0,187.74,5
3522,16,0.0839456208177871,2,2,1,16.0,1100.0,63.0,5
490,8,0.2110426628366764,2,1,1,12.0,2354.0,187.4,5
3588,17,0.12338953040985619,2,2,1,21.1,814.0,55.2,5
5184,20,-0.4463558303644751,2,2,1,16.95,1498.0,97.7,5
2009,20,-0.36965933949100743,2,2,1,18.9,1197.0,82.0,5
1038,15,-0.04096009289043169,3,1,1,10.2,4367.0,308.0,7
115,18,-0.04096009289043169,3,2,1,12.99,2494.0,100.6,7
5203,21,-0.3480857122724563,3,2,1,22.07,1199.0,73.9,5
3303,17,-0.060397175006079065,2,2,1,19.4,1198.0,86.8,5
3278,18,0.04984855230375404,3,2,1,15.1,2179.0,140.0,7
1924,21,-0.34431662757810305,3,1,1,14.69,2993.0,258.0,5
