,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats
5105,19,-0.07383001755048926,3,2,1,16.0,2179.0,140.0,7
2976,14,0.39182724846699307,3,2,2,21.9,1396.0,90.0,5
21,19,-0.0366650894015175,3,2,2,23.65,1248.0,88.5,5
5202,15,1.5477529323456845,3,2,1,12.8,2494.0,102.0,7
3044,13,0.015685743940400867,2,2,1,0.0,1086.0,62.0,5
1606,19,0.03235079574305006,3,2,1,25.8,1498.0,98.6,5
2027,10,0.46304541856378445,2,2,2,18.9,998.0,67.1,5
3790,15,0.10287869742198026,2,2,1,21.1,814.0,55.2,5
2434,18,-0.18339643308401452,2,2,1,19.1,1197.0,81.86,5
2144,14,0.2110426628366764,3,1,2,11.4,2953.0,153.86,7
3177,10,-0.07383001755048926,2,2,2,18.9,998.0,67.1,5
4008,17,-0.3641810187143312,3,2,1,21.9,1396.0,88.76,5
4015,18,0.11243288885650367,3,1,1,17.05,1995.0,184.0,5
929,19,0.23295594594338145,3,2,1,22.77,1498.0,98.59,5
5437,21,-0.41348590570441757,3,1,1,16.0,2179.0,140.0,7
1865,18,-0.284142752167091,3,2,1,23.2,1248.0,73.94,5
5688,16,0.18145973064262458,3,2,2,25.44,936.0,57.6,5
1563,14,0.004356576574234357,2,2,1,19.7,796.0,46.3,5
5201,17,0.12732296472750976,3,2,1,12.05,2179.0,120.0,8
3718,17,0.20496172677456576,3,2,1,22.07,1199.0,73.9,5
769,20,0.15625945506991376,3,2,1,25.0,1396.0,69.0,5
4398,13,1.186183761085051,3,2,2,19.09,1396.0,69.0,5
5954,19,0.39730556924366933,3,1,1,12.55,2982.0,168.5,7
2752,21,0.01382311487633094,2,2,1,21.1,814.0,55.2,5
745,13,0.4627167193171839,3,1,1,15.5,1896.0,105.0,5
3744,19,-0.37385573320594145,2,2,1,22.74,796.0,47.3,5
3119,22,-0.15926990838353225,1,2,1,32.26,998.0,58.2,4
4163,21,-0.05365884045076726,3,1,1,11.36,2755.0,171.5,7
4672,20,0.45208877701043193,3,2,1,24.4,1120.0,71.0,5
2534,22,-0.6118011178200983,3,2,1,24.3,1248.0,88.5,5
3697,14,-0.1395698668706044,3,1,1,22.48,1995.0,190.0,5
5156,20,-0.28803235991853116,2,2,1,18.6,1197.0,81.83,5
3058,19,-0.13569121576071763,2,2,2,16.47,1198.0,74.0,5
3519,18,-0.31487613172424483,2,2,2,16.47,1198.0,74.0,5
346,17,-0.019046809783726637,3,2,1,25.8,1498.0,98.6,5
3911,20,-0.48470407580120894,2,1,1,14.67,1798.0,177.46,5
3616,19,-0.20530971619071955,3,2,1,20.77,1248.0,88.8,7
5112,19,-0.033323313727744976,3,2,1,22.54,1396.0,88.73,5
4673,18,0.17817273817661883,3,1,1,21.21,1498.0,103.2,5
3739,17,0.046693039536388516,2,2,1,16.47,1198.0,74.0,5
3178,15,-0.4244425472577701,2,2,1,16.47,1198.0,73.9,5
822,17,-0.3039194901708923,3,1,1,17.68,1968.0,174.33,5
1121,19,0.2219993043900289,3,2,1,17.8,1248.0,75.0,5
5238,17,-0.11765658376389937,2,2,1,18.2,1199.0,82.4,5
4142,15,0.01382311487633094,2,2,1,17.0,1497.0,118.0,5
3486,15,0.036832062138371244,3,2,1,11.5,2982.0,171.0,7
0,14,0.14530281351656124,1,2,1,26.6,998.0,58.16,5
2531,16,-0.21845768605474258,3,2,1,21.64,1461.0,84.8,5
5622,20,-0.2586795171970997,2,1,1,21.4,1197.0,83.1,5
5872,21,-0.4107686585991861,3,2,1,24.3,1248.0,88.5,5
296,19,0.20853359192095866,3,1,1,19.27,2143.0,170.0,5
4044,15,1.2519236104051663,3,1,1,13.5,2400.0,215.0,5
5798,18,-0.11300001110372454,3,2,1,23.08,1461.0,63.12,5
3900,16,-0.3367675015478432,2,2,1,16.02,1373.0,93.7,7
5232,17,-0.08478665910384178,2,1,1,16.8,1497.0,118.0,5
5011,22,-0.26342374298970134,2,1,1,18.0,1497.0,117.3,5
2973,18,-0.11765658376389937,3,1,2,9.0,1984.0,181.0,5
3260,18,-0.2600929239574822,2,2,1,15.0,1598.0,103.52,5
4268,15,0.6712216080774824,3,2,2,22.9,1248.0,74.0,5
4403,22,-0.5778355290047055,2,2,1,19.5,1199.0,86.76,5
4410,18,-0.3587026979376549,3,2,1,26.0,1498.0,98.6,5
403,17,-0.06287337599713674,2,2,1,14.0,1061.0,64.0,5
2083,19,0.06860632264309356,3,1,2,18.56,1995.0,190.0,5
3923,8,0.5616551925439572,2,2,1,13.2,1495.0,94.0,5
162,21,-0.3805611978365932,2,2,1,20.4,1197.0,81.8,5
3175,18,0.26074198892268347,3,1,1,14.74,2993.0,270.9,5
1673,19,-0.512490118780511,3,1,1,13.22,2967.0,241.4,5
3449,17,0.16721609662326628,2,2,1,16.47,1198.0,73.9,5
4992,15,0.10147624730315113,3,2,2,12.8,2494.0,102.0,7
5137,4,0.3425223614769067,2,2,2,17.3,993.0,60.0,5
1409,21,0.9780075715713531,3,2,1,23.4,1248.0,74.0,5
2252,19,-0.06342120807480436,2,2,1,14.0,796.0,35.0,5
2339,18,-0.11765658376389937,3,2,2,25.8,1498.0,98.6,5
3075,22,-0.588792170558058,2,1,1,14.28,1798.0,138.03,5
5168,11,0.13434617196320872,2,2,2,18.9,998.0,67.1,5
1443,20,-0.5340089627912953,2,2,1,24.07,998.0,67.1,5
3262,18,0.1789835296515669,3,2,1,23.4,1248.0,74.0,5
4750,18,-0.029367966126984717,2,2,1,15.04,1598.0,103.2,5
2039,14,0.1299635153418677,2,2,1,20.36,1197.0,78.9,5
4124,17,0.45208877701043193,2,2,1,16.8,1497.0,116.3,5
5196,19,-0.19435307463736703,2,2,1,18.6,1197.0,81.83,5
3741,18,-0.31487613172424483,3,1,1,17.9,2143.0,136.0,5
1812,20,-0.08624389243043767,3,2,1,20.34,1498.0,103.2,5
2143,19,-0.29940535385091105,2,2,1,21.1,814.0,55.2,5
4431,17,-0.01073071884473207,2,2,1,21.1,814.0,55.2,5
3933,19,0.45208877701043193,3,1,1,13.5,2400.0,215.0,5
3319,17,-0.10863926776549024,3,1,1,19.5,1582.0,126.24,5
3303,17,-0.060397175006079065,2,2,1,19.4,1198.0,86.8,5
3729,17,0.10053397612956283,3,2,1,23.0,1396.0,90.0,5
5031,19,0.2668119683432407,3,2,1,19.01,1461.0,108.45,5
3297,14,0.1787753534620532,2,2,1,18.06,1198.0,75.0,5
3690,15,-0.08369099494850654,3,2,1,20.54,1598.0,103.6,5
3890,17,0.1431443551305508,3,2,1,20.5,1598.0,103.5,5
5146,18,0.6516968728294082,3,1,1,12.07,2967.0,241.4,7
5757,21,-0.3039194901708923,3,2,1,13.68,2393.0,147.8,7
5282,15,0.45208877701043193,3,1,1,14.0,2987.0,224.0,5
3421,18,0.002866473322978414,2,1,1,14.28,1798.0,138.03,5
1974,22,-0.3361320163377487,2,1,1,12.05,2979.0,320.0,5
2010,21,-0.5120956796845902,2,2,1,17.0,1198.0,73.75,5
5946,20,-0.46826911347118017,3,1,1,14.69,2993.0,258.0,5
3365,11,0.2110426628366764,3,2,2,10.5,2835.0,107.2,6
166,17,0.06860632264309356,3,1,1,21.5,1498.0,108.5,5
4714,15,0.2110426628366764,3,2,2,15.0,2148.0,603.46,5
565,19,0.041762550837379876,3,2,1,25.8,1498.0,98.6,5
5916,9,-0.09574330065719432,2,2,1,13.2,1495.0,94.0,5
3532,15,-0.07828937066270374,2,2,2,15.6,1196.0,70.0,5
1182,20,-0.15052650842395693,2,2,1,25.17,799.0,53.3,5
342,20,-0.369955168812948,2,2,1,18.6,1197.0,81.83,5
3809,17,0.03573639798303599,3,2,2,18.3,1991.0,147.9,5
2135,13,0.12909794065915287,2,1,2,10.9,2497.0,215.0,5
